[2025-12-28 16:00:30,278][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 16:00:30,279][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 16:00:30,279][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 16:00:30,279][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 16:00:30,280][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 16:00:30,280][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 16:00:30,280][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 16:00:30,280][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 16:00:30,282][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 16:00:30,282][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 16:00:30,282][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 16:00:30,282][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 16:00:32,961][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 16:05:21,369][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 16:05:21,521][INFO] frontend_builder: Using npm at: /usr/bin/npm
[2025-12-28 16:05:22,854][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 16:05:22,854][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 16:05:22,854][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 16:05:22,855][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 16:05:22,855][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 16:05:22,855][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 16:05:22,855][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 16:05:22,855][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 16:05:22,856][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 16:05:22,856][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 16:05:22,859][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 16:05:23,063][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 16:05:23,064][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 16:05:23,064][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 16:05:27,707][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 16:05:28,366][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 16:05:28,367][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 16:05:28,368][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 16:05:28,369][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 16:05:28,370][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 16:05:28,370][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 16:05:28,371][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 16:05:28,371][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 16:05:28,371][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 16:05:28,371][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 16:05:28,372][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 16:05:28,375][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 16:05:28,375][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 16:05:28,376][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 16:05:28,376][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 16:05:36,073][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 19:31:07,630][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
[2025-12-28 19:31:10,339][INFO] frontend_builder: Using npm at: /usr/bin/npm
[2025-12-28 19:31:14,378][INFO] agent_spawner: AgentClientManager initialized with Minecraft support: /home/devlord/divine-world-core/DWClientBot/build/libs/DWClientBot.jar
[2025-12-28 19:31:14,379][INFO] agent_spawner: AgentSpawner initialized in MINECRAFT mode
[2025-12-28 19:31:14,615][INFO] packager: ✅ Found frontend at: /home/devlord/divine-world-core/dw_agent/electron/react-app
[2025-12-28 19:31:14,791][INFO] auto_packager: 📦 Packaging worker started
[2025-12-28 19:31:14,791][INFO] auto_packager: AutoPackaging system initialized (output: /home/devlord/divine-world-core/npc_applications)
[2025-12-28 19:31:14,792][INFO] auto_packager: Auto-packaging enabled
[2025-12-28 19:31:14,792][INFO] dw_backend: Enhanced Agent Manager initialized with binary protocol
[2025-12-28 19:31:14,792][INFO] auto_connect: AutoConnect System initialized
[2025-12-28 19:31:14,792][INFO] auto_connect:   Agents Folder: npc_applications
[2025-12-28 19:31:14,792][INFO] auto_connect:   Server: 127.0.0.1:25565
[2025-12-28 19:31:14,797][INFO] auto_connect: ✅ Auto-connect system integrated with backend
[2025-12-28 19:31:16,344][INFO] dw_backend: ✅ Chat system imported successfully
[2025-12-28 19:31:16,344][INFO] dw_backend: 🌉 WebSocket Chat Bridge initialized
[2025-12-28 19:31:16,345][INFO] dw_backend: ✅ Chat system bridged to main WebSocket handlers
[2025-12-28 19:31:40,707][WARNING] dw_backend: S3 client initialization failed: Could not connect to the endpoint URL: "http://127.0.0.1:9000/divine-world"
[2025-12-28 19:32:26,005][INFO] root: Logging initialized at INFO level. Log file: data/logs/divine_world.log
